problem_id,title,company,frequency,difficulty,topics,acceptance_rate,premium,category,likes,dislikes,url,freq_score,difficulty_num,relevance_score
2260,Minimum Consecutive Cards to Pick Up,Google,1.0,Medium,"Array, Hash Table, Sliding Window",52.88,False,Algorithms,1062,44,https://leetcode.com/problems/minimum-consecutive-cards-to-pick-up,0.0133,2,0.208
2256,Minimum Average Difference,Amazon,1.0,Medium,"Array, Prefix Sum",43.6,False,Algorithms,1552,180,https://leetcode.com/problems/minimum-average-difference,0.0,2,0.2
2255,Count Prefixes of a Given String,Google,1.0,Easy,"Array, String",74.0,False,Algorithms,589,24,https://leetcode.com/problems/count-prefixes-of-a-given-string,0.0133,1,0.408
2244,Minimum Rounds to Complete All Tasks,Amazon,1.0,Medium,"Array, Hash Table, Greedy, Counting",63.01,False,Algorithms,2823,83,https://leetcode.com/problems/minimum-rounds-to-complete-all-tasks,0.0,2,0.2
2215,Find the Difference of Two Arrays,Google,1.0,Easy,"Array, Hash Table",80.99,False,Algorithms,2549,118,https://leetcode.com/problems/find-the-difference-of-two-arrays,0.0133,1,0.408
2200,Find All K-Distant Indices in an Array,Google,1.0,Easy,"Array, Two Pointers",77.44,False,Algorithms,782,128,https://leetcode.com/problems/find-all-k-distant-indices-in-an-array,0.0133,1,0.408
2190,Most Frequent Number Following Key In an Array,Google,1.0,Easy,"Array, Hash Table, Counting",59.27,False,Algorithms,397,249,https://leetcode.com/problems/most-frequent-number-following-key-in-an-array,0.0133,1,0.408
2185,Counting Words With a Given Prefix,Google,1.0,Easy,"Array, String, String Matching",84.51,False,Algorithms,1097,37,https://leetcode.com/problems/counting-words-with-a-given-prefix,0.0133,1,0.408
2161,Partition Array According to Given Pivot,Amazon,1.0,Medium,"Array, Two Pointers, Simulation",89.87,False,Algorithms,1702,118,https://leetcode.com/problems/partition-array-according-to-given-pivot,0.0,2,0.2
2160,Minimum Sum of Four Digit Number After Splitting Digits,Amazon,1.0,Easy,"Math, Greedy, Sorting",86.15,False,Algorithms,1481,147,https://leetcode.com/problems/minimum-sum-of-four-digit-number-after-splitting-digits,0.0,1,0.4
2155,All Divisions With the Highest Score of a Binary Array,Google,1.0,Medium,Array,64.61,False,Algorithms,522,17,https://leetcode.com/problems/all-divisions-with-the-highest-score-of-a-binary-array,0.0133,2,0.208
2150,Find All Lonely Numbers in the Array,Google,1.0,Medium,"Array, Hash Table, Counting",61.93,False,Algorithms,682,65,https://leetcode.com/problems/find-all-lonely-numbers-in-the-array,0.0133,2,0.208
2149,Rearrange Array Elements by Sign,Amazon,1.0,Medium,"Array, Two Pointers, Simulation",84.45,False,Algorithms,3823,215,https://leetcode.com/problems/rearrange-array-elements-by-sign,0.0,2,0.2
2134,Minimum Swaps to Group All 1's Together II,Amazon,2.0,Medium,"Array, Sliding Window",65.57,False,Algorithms,2052,41,https://leetcode.com/problems/minimum-swaps-to-group-all-1s-together-ii,0.0086,2,0.2052
2130,Maximum Twin Sum of a Linked List,Amazon,23.0,Medium,"Linked List, Two Pointers, Stack",81.54,False,Algorithms,3784,120,https://leetcode.com/problems/maximum-twin-sum-of-a-linked-list,0.1897,2,0.3138
2126,Destroying Asteroids,Google,1.0,Medium,"Array, Greedy, Sorting",52.77,False,Algorithms,584,196,https://leetcode.com/problems/destroying-asteroids,0.0133,2,0.208
2125,Number of Laser Beams in a Bank,Amazon,6.0,Medium,"Array, Math, String, Matrix",85.41,False,Algorithms,1935,196,https://leetcode.com/problems/number-of-laser-beams-in-a-bank,0.0431,2,0.2259
2116,Check if a Parentheses String Can Be Valid,Amazon,2.0,Medium,"String, Stack, Greedy",44.91,False,Algorithms,1990,130,https://leetcode.com/problems/check-if-a-parentheses-string-can-be-valid,0.0086,2,0.2052
2114,Maximum Number of Words Found in Sentences,Google,1.0,Easy,"Array, String",86.6,False,Algorithms,1828,62,https://leetcode.com/problems/maximum-number-of-words-found-in-sentences,0.0133,1,0.408
2110,Number of Smooth Descent Periods of a Stock,Amazon,4.0,Medium,"Array, Math, Dynamic Programming",59.36,False,Algorithms,748,35,https://leetcode.com/problems/number-of-smooth-descent-periods-of-a-stock,0.0259,2,0.2155
2109,Adding Spaces to a String,Amazon,1.0,Medium,"Array, Two Pointers, String, Simulation",71.69,False,Algorithms,1085,113,https://leetcode.com/problems/adding-spaces-to-a-string,0.0,2,0.2
2103,Rings and Rods,Google,6.0,Easy,"Hash Table, String",81.26,False,Algorithms,1004,20,https://leetcode.com/problems/rings-and-rods,0.08,1,0.448
2089,Find Target Indices After Sorting Array,Google,4.0,Easy,"Array, Binary Search, Sorting",77.42,False,Algorithms,1915,104,https://leetcode.com/problems/find-target-indices-after-sorting-array,0.0533,1,0.432
2079,Watering Plants,Google,1.0,Medium,"Array, Simulation",80.01,False,Algorithms,953,72,https://leetcode.com/problems/watering-plants,0.0133,2,0.208
2078,Two Furthest Houses With Different Colors,Amazon,2.0,Easy,"Array, Greedy",65.59,False,Algorithms,987,32,https://leetcode.com/problems/two-furthest-houses-with-different-colors,0.0086,1,0.4052
2075,Decode the Slanted Ciphertext,Amazon,1.0,Medium,"String, Simulation",49.24,False,Algorithms,258,68,https://leetcode.com/problems/decode-the-slanted-ciphertext,0.0,2,0.2
2057,Smallest Index With Equal Value,Google,1.0,Easy,Array,72.66,False,Algorithms,448,144,https://leetcode.com/problems/smallest-index-with-equal-value,0.0133,1,0.408
2055,Plates Between Candles,Amazon,3.0,Medium,"Array, String, Binary Search, Prefix Sum",46.85,False,Algorithms,1320,70,https://leetcode.com/problems/plates-between-candles,0.0172,2,0.2103
2053,Kth Distinct String in an Array,Amazon,1.0,Easy,"Array, Hash Table, String, Counting",82.04,False,Algorithms,1288,50,https://leetcode.com/problems/kth-distinct-string-in-an-array,0.0,1,0.4
2047,Number of Valid Words in a Sentence,Amazon,2.0,Easy,String,30.17,False,Algorithms,337,819,https://leetcode.com/problems/number-of-valid-words-in-a-sentence,0.0086,1,0.4052
2034,Stock Price Fluctuation ,Google,30.0,Medium,"Hash Table, Design, Heap (Priority Queue), Data Stream, Ordered Set",48.34,False,Algorithms,1248,69,https://leetcode.com/problems/stock-price-fluctuation,0.4,2,0.44
2024,Maximize the Confusion of an Exam,Amazon,2.0,Medium,"String, Binary Search, Sliding Window, Prefix Sum",68.94,False,Algorithms,3020,50,https://leetcode.com/problems/maximize-the-confusion-of-an-exam,0.0086,2,0.2052
2022,Convert 1D Array Into 2D Array,Google,1.0,Easy,"Array, Matrix, Simulation",71.89,False,Algorithms,1270,103,https://leetcode.com/problems/convert-1d-array-into-2d-array,0.0133,1,0.408
2018,Check if Word Can Be Placed In Crossword,Google,4.0,Medium,"Array, Matrix, Enumeration",50.17,False,Algorithms,319,310,https://leetcode.com/problems/check-if-word-can-be-placed-in-crossword,0.0533,2,0.232
2012,Sum of Beauty in the Array,Amazon,1.0,Medium,Array,50.37,False,Algorithms,670,74,https://leetcode.com/problems/sum-of-beauty-in-the-array,0.0,2,0.2
2007,Find Original Array From Doubled Array,Google,14.0,Medium,"Array, Hash Table, Greedy, Sorting",40.55,False,Algorithms,2531,117,https://leetcode.com/problems/find-original-array-from-doubled-array,0.1867,2,0.312
2006,Count Number of Pairs With Absolute Difference K,Amazon,1.0,Easy,"Array, Hash Table, Counting",85.02,False,Algorithms,1755,47,https://leetcode.com/problems/count-number-of-pairs-with-absolute-difference-k,0.0,1,0.4
1996,The Number of Weak Characters in the Game,Google,3.0,Medium,"Array, Stack, Greedy, Sorting, Monotonic Stack",44.27,False,Algorithms,3070,99,https://leetcode.com/problems/the-number-of-weak-characters-in-the-game,0.04,2,0.224
1981,Minimize the Difference Between Target and Chosen Elements,Amazon,1.0,Medium,"Array, Dynamic Programming, Matrix",36.03,False,Algorithms,1035,145,https://leetcode.com/problems/minimize-the-difference-between-target-and-chosen-elements,0.0,2,0.2
1980,Find Unique Binary String,Amazon,2.0,Medium,"Array, Hash Table, String, Backtracking",79.39,False,Algorithms,2536,89,https://leetcode.com/problems/find-unique-binary-string,0.0086,2,0.2052
1971,Find if Path Exists in Graph,Amazon,4.0,Easy,"Depth-First Search, Breadth-First Search, Union Find, Graph",54.2,False,Algorithms,4154,243,https://leetcode.com/problems/find-if-path-exists-in-graph,0.0259,1,0.4155
1971,Find if Path Exists in Graph,Google,3.0,Easy,"Depth-First Search, Breadth-First Search, Union Find, Graph",54.2,False,Algorithms,4154,243,https://leetcode.com/problems/find-if-path-exists-in-graph,0.04,1,0.424
1968,Array With Elements Not Equal to Average of Neighbors,Amazon,2.0,Medium,"Array, Greedy, Sorting",50.23,False,Algorithms,651,56,https://leetcode.com/problems/array-with-elements-not-equal-to-average-of-neighbors,0.0086,2,0.2052
1966,Binary Searchable Numbers in an Unsorted Array,Google,1.0,Medium,"Array, Binary Search",62.56,True,Algorithms,76,12,https://leetcode.com/problems/binary-searchable-numbers-in-an-unsorted-array,0.0133,2,0.208
1929,Concatenation of Array,Google,4.0,Easy,"Array, Simulation",90.53,False,Algorithms,3626,426,https://leetcode.com/problems/concatenation-of-array,0.0533,1,0.432
1926,Nearest Exit from Entrance in Maze,Amazon,2.0,Medium,"Array, Breadth-First Search, Matrix",47.77,False,Algorithms,2530,121,https://leetcode.com/problems/nearest-exit-from-entrance-in-maze,0.0086,2,0.2052
1925,Count Square Sum Triples,Amazon,2.0,Easy,"Math, Enumeration",69.25,False,Algorithms,447,44,https://leetcode.com/problems/count-square-sum-triples,0.0086,1,0.4052
1920,Build Array from Permutation,Google,2.0,Easy,"Array, Simulation",91.08,False,Algorithms,3898,470,https://leetcode.com/problems/build-array-from-permutation,0.0267,1,0.416
1910,Remove All Occurrences of a Substring,Google,2.0,Medium,"String, Stack, Simulation",78.2,False,Algorithms,2528,88,https://leetcode.com/problems/remove-all-occurrences-of-a-substring,0.0267,2,0.216
1910,Remove All Occurrences of a Substring,Amazon,2.0,Medium,"String, Stack, Simulation",78.2,False,Algorithms,2528,88,https://leetcode.com/problems/remove-all-occurrences-of-a-substring,0.0086,2,0.2052
1877,Minimize Maximum Pair Sum in Array,Google,3.0,Medium,"Array, Two Pointers, Greedy, Sorting",81.52,False,Algorithms,2049,474,https://leetcode.com/problems/minimize-maximum-pair-sum-in-array,0.04,2,0.224
1874,Minimize Product Sum of Two Arrays,Google,1.0,Medium,"Array, Greedy, Sorting",89.05,True,Algorithms,248,27,https://leetcode.com/problems/minimize-product-sum-of-two-arrays,0.0133,2,0.208
1869,Longer Contiguous Segments of Ones than Zeros,Amazon,2.0,Easy,String,61.69,False,Algorithms,550,13,https://leetcode.com/problems/longer-contiguous-segments-of-ones-than-zeros,0.0086,1,0.4052
1859,Sorting the Sentence,Google,2.0,Easy,"String, Sorting",83.84,False,Algorithms,2330,80,https://leetcode.com/problems/sorting-the-sentence,0.0267,1,0.416
1854,Maximum Population Year,Google,2.0,Easy,"Array, Counting, Prefix Sum",62.91,False,Algorithms,1466,275,https://leetcode.com/problems/maximum-population-year,0.0267,1,0.416
1844,Replace All Digits with Characters,Google,1.0,Easy,String,82.28,False,Algorithms,871,115,https://leetcode.com/problems/replace-all-digits-with-characters,0.0133,1,0.408
1828,Queries on Number of Points Inside a Circle,Google,1.0,Medium,"Array, Math, Geometry",86.55,False,Algorithms,1177,89,https://leetcode.com/problems/queries-on-number-of-points-inside-a-circle,0.0133,2,0.208
1813,Sentence Similarity III,Google,1.0,Medium,"Array, Two Pointers, String",48.59,False,Algorithms,1046,162,https://leetcode.com/problems/sentence-similarity-iii,0.0133,2,0.208
1807,Evaluate the Bracket Pairs of a String,Google,2.0,Medium,"Array, Hash Table, String",68.66,False,Algorithms,506,43,https://leetcode.com/problems/evaluate-the-bracket-pairs-of-a-string,0.0267,2,0.216
1806,Minimum Number of Operations to Reinitialize a Permutation,Google,1.0,Medium,"Array, Math, Simulation",72.28,False,Algorithms,326,174,https://leetcode.com/problems/minimum-number-of-operations-to-reinitialize-a-permutation,0.0133,2,0.208
1792,Maximum Average Pass Ratio,Amazon,2.0,Medium,"Array, Greedy, Heap (Priority Queue)",71.58,False,Algorithms,1405,117,https://leetcode.com/problems/maximum-average-pass-ratio,0.0086,2,0.2052
1781,Sum of Beauty of All Substrings,Google,1.0,Medium,"Hash Table, String, Counting",71.8,False,Algorithms,1417,205,https://leetcode.com/problems/sum-of-beauty-of-all-substrings,0.0133,2,0.208
1772,Sort Features by Popularity,Amazon,2.0,Medium,"Array, Hash Table, String, Sorting",66.04,True,Algorithms,91,43,https://leetcode.com/problems/sort-features-by-popularity,0.0086,2,0.2052
1769,Minimum Number of Operations to Move All Balls to Each Box,Amazon,2.0,Medium,"Array, String, Prefix Sum",90.12,False,Algorithms,3054,134,https://leetcode.com/problems/minimum-number-of-operations-to-move-all-balls-to-each-box,0.0086,2,0.2052
1765,Map of Highest Peak,Google,2.0,Medium,"Array, Breadth-First Search, Matrix",75.26,False,Algorithms,1496,109,https://leetcode.com/problems/map-of-highest-peak,0.0267,2,0.216
1764,Form Array by Concatenating Subarrays of Another Array,Amazon,1.0,Medium,"Array, Two Pointers, Greedy, String Matching",53.89,False,Algorithms,346,44,https://leetcode.com/problems/form-array-by-concatenating-subarrays-of-another-array,0.0,2,0.2
1756,Design Most Recently Used Queue,Google,1.0,Medium,"Array, Hash Table, Stack, Design, Binary Indexed Tree, Ordered Set",77.76,True,Algorithms,323,26,https://leetcode.com/problems/design-most-recently-used-queue,0.0133,2,0.208
1752,Check if Array Is Sorted and Rotated,Amazon,2.0,Easy,Array,55.24,False,Algorithms,4479,257,https://leetcode.com/problems/check-if-array-is-sorted-and-rotated,0.0086,1,0.4052
1749,Maximum Absolute Sum of Any Subarray,Amazon,2.0,Medium,"Array, Dynamic Programming",71.41,False,Algorithms,1929,41,https://leetcode.com/problems/maximum-absolute-sum-of-any-subarray,0.0086,2,0.2052
1736,Latest Time by Replacing Hidden Digits,Google,1.0,Easy,"String, Greedy",43.22,False,Algorithms,395,187,https://leetcode.com/problems/latest-time-by-replacing-hidden-digits,0.0133,1,0.408
1727,Largest Submatrix With Rearrangements,Google,0.0,Medium,"Array, Greedy, Sorting, Matrix",75.19,False,Algorithms,1970,106,https://leetcode.com/problems/largest-submatrix-with-rearrangements,0.0,2,0.2
1726,Tuple with Same Product,Google,1.0,Medium,"Array, Hash Table, Counting",70.12,False,Algorithms,1361,58,https://leetcode.com/problems/tuple-with-same-product,0.0133,2,0.208
1721,Swapping Nodes in a Linked List,Amazon,3.0,Medium,"Linked List, Two Pointers",68.67,False,Algorithms,5606,201,https://leetcode.com/problems/swapping-nodes-in-a-linked-list,0.0172,2,0.2103
1717,Maximum Score From Removing Substrings,Google,1.0,Medium,"String, Stack, Greedy",66.53,False,Algorithms,1897,135,https://leetcode.com/problems/maximum-score-from-removing-substrings,0.0133,2,0.208
1711,Count Good Meals,Amazon,2.0,Medium,"Array, Hash Table",31.9,False,Algorithms,1111,246,https://leetcode.com/problems/count-good-meals,0.0086,2,0.2052
1710,Maximum Units on a Truck,Amazon,29.0,Easy,"Array, Greedy, Sorting",74.38,False,Algorithms,3962,234,https://leetcode.com/problems/maximum-units-on-a-truck,0.2414,1,0.5448
1708,Largest Subarray Length K,Google,1.0,Easy,"Array, Greedy",65.33,True,Algorithms,110,116,https://leetcode.com/problems/largest-subarray-length-k,0.0133,1,0.408
