ID,Title,Difficulty,Link,Topics,Acceptance Rate (%),Premium Only,Category,Likes,Dislikes,Example Test Cases,Similar Questions
3641,Longest Semi-Repeating Subarray,Medium,https://leetcode.com/problems/longest-semi-repeating-subarray/,,71.01,True,Algorithms,2,1,,[]
3642,Find Books with Polarized Opinions,Easy,https://leetcode.com/problems/find-books-with-polarized-opinions/,,50.77,False,Database,16,1,,[]
3633,Earliest Finish Time for Land and Water Rides I,Easy,https://leetcode.com/problems/earliest-finish-time-for-land-and-water-rides-i/,"Array, Two Pointers, Binary Search, Greedy, Sorting",60.94,False,Algorithms,46,7,,[]
3647,Maximum Weight in Two Bags,Medium,https://leetcode.com/problems/maximum-weight-in-two-bags/,,67.7,True,Algorithms,2,1,,[]
3626,Find Stores with Inventory Imbalance,Medium,https://leetcode.com/problems/find-stores-with-inventory-imbalance/,,54.19,False,Database,21,0,,[]
3638,Maximum Balanced Shipments,Medium,https://leetcode.com/problems/maximum-balanced-shipments/,"Array, Dynamic Programming, Stack, Greedy, Monotonic Stack",54.41,False,Algorithms,51,4,,[]
3640,Trionic Array II,Hard,https://leetcode.com/problems/trionic-array-ii/,"Array, Dynamic Programming",19.46,False,Algorithms,35,2,,[]
3646,Next Special Palindrome Number,Hard,https://leetcode.com/problems/next-special-palindrome-number/,Backtracking,24.46,False,Algorithms,43,4,,[]
3631,Sort Threats by Severity and Exploitability,Medium,https://leetcode.com/problems/sort-threats-by-severity-and-exploitability/,"Array, Sorting",71.87,True,Algorithms,3,1,,"[{""title"": ""Sort the Students by Their Kth Score"", ""titleSlug"": ""sort-the-students-by-their-kth-score"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
3617,Find Students with Study Spiral Pattern,Hard,https://leetcode.com/problems/find-students-with-study-spiral-pattern/,,32.7,False,Database,18,2,,[]
3634,Minimum Removals to Balance Array,Medium,https://leetcode.com/problems/minimum-removals-to-balance-array/,"Array, Sliding Window, Sorting",37.66,False,Algorithms,68,1,,[]
3636,Threshold Majority Queries,Hard,https://leetcode.com/problems/threshold-majority-queries/,"Array, Hash Table, Binary Search, Divide and Conquer, Counting, Prefix Sum",19.37,False,Algorithms,27,7,,[]
3635,Earliest Finish Time for Land and Water Rides II,Medium,https://leetcode.com/problems/earliest-finish-time-for-land-and-water-rides-ii/,"Array, Two Pointers, Binary Search, Greedy, Sorting",32.0,False,Algorithms,53,1,,[]
3643,Flip Square Submatrix Vertically,Easy,https://leetcode.com/problems/flip-square-submatrix-vertically/,"Array, Two Pointers, Matrix",65.77,False,Algorithms,32,0,,[]
3628,Maximum Number of Subsequences After One Inserting,Medium,https://leetcode.com/problems/maximum-number-of-subsequences-after-one-inserting/,"String, Dynamic Programming, Greedy, Prefix Sum",24.07,False,Algorithms,110,3,,[]
3645,Maximum Total from Optimal Activation Order,Medium,https://leetcode.com/problems/maximum-total-from-optimal-activation-order/,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue)",35.15,False,Algorithms,53,32,,[]
3616,Number of Student Replacements,Medium,https://leetcode.com/problems/number-of-student-replacements/,"Array, Simulation",86.49,True,Algorithms,3,1,,[]
3611,Find Overbooked Employees,Medium,https://leetcode.com/problems/find-overbooked-employees/,Database,42.28,False,Database,20,5,,[]
3618,Split Array by Prime Indices,Medium,https://leetcode.com/problems/split-array-by-prime-indices/,"Array, Math, Number Theory",48.83,False,Algorithms,46,2,,[]
3606,Coupon Code Validator,Easy,https://leetcode.com/problems/coupon-code-validator/,"Array, Hash Table, String, Sorting",53.89,False,Algorithms,51,22,,[]
3601,Find Drivers with Improved Fuel Efficiency,Medium,https://leetcode.com/problems/find-drivers-with-improved-fuel-efficiency/,Database,49.29,False,Database,19,3,,[]
3621,Number of Integers With Popcount-Depth Equal to K I,Hard,https://leetcode.com/problems/number-of-integers-with-popcount-depth-equal-to-k-i/,"Math, Dynamic Programming, Combinatorics",19.67,False,Algorithms,42,3,,"[{""title"": ""Find Pattern in Infinite Stream II"", ""titleSlug"": ""find-pattern-in-infinite-stream-ii"", ""difficulty"": ""Hard"", ""translatedTitle"": null}]"
3639,Minimum Time to Activate String,Medium,https://leetcode.com/problems/minimum-time-to-activate-string/,"Array, Binary Search",33.43,False,Algorithms,98,4,,[]
3586,Find COVID Recovery Patients,Medium,https://leetcode.com/problems/find-covid-recovery-patients/,Database,40.83,False,Database,25,3,,[]
3595,Once Twice,Medium,https://leetcode.com/problems/once-twice/,"Array, Bit Manipulation",77.07,True,Algorithms,6,1,,[]
3632,Subarrays with XOR at Least K,Hard,https://leetcode.com/problems/subarrays-with-xor-at-least-k/,,41.49,True,Algorithms,3,1,,[]
3624,Number of Integers With Popcount-Depth Equal to K II,Hard,https://leetcode.com/problems/number-of-integers-with-popcount-depth-equal-to-k-ii/,"Array, Divide and Conquer, Binary Indexed Tree, Segment Tree",37.36,False,Algorithms,25,9,,[]
3610,Minimum Number of Primes to Sum to Target,Medium,https://leetcode.com/problems/minimum-number-of-primes-to-sum-to-target/,"Array, Math, Dynamic Programming, Number Theory",59.62,True,Algorithms,13,1,,[]
3614,Process String with Special Operations II,Hard,https://leetcode.com/problems/process-string-with-special-operations-ii/,"String, Simulation",15.74,False,Algorithms,83,8,,[]
3581,Count Odd Letters from Number,Easy,https://leetcode.com/problems/count-odd-letters-from-number/,"Hash Table, String, Simulation, Counting",85.01,True,Algorithms,7,2,,[]
3644,Maximum K to Sort a Permutation,Medium,https://leetcode.com/problems/maximum-k-to-sort-a-permutation/,,31.85,False,Algorithms,65,25,,[]
3629,Minimum Jumps to Reach End via Prime Teleportation,Medium,https://leetcode.com/problems/minimum-jumps-to-reach-end-via-prime-teleportation/,"Array, Hash Table, Math, Breadth-First Search, Number Theory",18.0,False,Algorithms,103,14,,[]
3603,Minimum Cost Path with Alternating Directions II,Medium,https://leetcode.com/problems/minimum-cost-path-with-alternating-directions-ii/,"Array, Dynamic Programming, Matrix",43.87,False,Algorithms,63,7,,[]
3612,Process String with Special Operations I,Medium,https://leetcode.com/problems/process-string-with-special-operations-i/,"String, Simulation",64.76,False,Algorithms,48,8,,[]
3596,Minimum Cost Path with Alternating Directions I,Medium,https://leetcode.com/problems/minimum-cost-path-with-alternating-directions-i/,"Math, Brainteaser",68.51,True,Algorithms,6,5,,[]
3609,Minimum Moves to Reach Target in Grid,Hard,https://leetcode.com/problems/minimum-moves-to-reach-target-in-grid/,Math,13.51,False,Algorithms,48,3,,[]
3637,Trionic Array I,Easy,https://leetcode.com/problems/trionic-array-i/,Array,39.4,False,Algorithms,44,3,,[]
3605,Minimum Stability Factor of Array,Hard,https://leetcode.com/problems/minimum-stability-factor-of-array/,"Array, Math, Binary Search, Greedy, Segment Tree, Number Theory",17.62,False,Algorithms,38,2,,[]
3591,Check if Any Element Has Prime Frequency,Easy,https://leetcode.com/problems/check-if-any-element-has-prime-frequency/,"Array, Hash Table, Math, Counting, Number Theory",62.58,False,Algorithms,46,1,,[]
3615,Longest Palindromic Path in Graph,Hard,https://leetcode.com/problems/longest-palindromic-path-in-graph/,"String, Dynamic Programming, Bit Manipulation, Graph, Bitmask",16.73,False,Algorithms,47,5,,[]
3580,Find Consistently Improving Employees,Medium,https://leetcode.com/problems/find-consistently-improving-employees/,Database,58.09,False,Database,23,0,,[]
3620,Network Recovery Pathways,Hard,https://leetcode.com/problems/network-recovery-pathways/,"Array, Binary Search, Dynamic Programming, Graph, Topological Sort, Heap (Priority Queue), Shortest Path",30.21,False,Algorithms,113,10,,[]
3602,Hexadecimal and Hexatrigesimal Conversion,Easy,https://leetcode.com/problems/hexadecimal-and-hexatrigesimal-conversion/,"Math, String",79.81,False,Algorithms,38,0,,[]
3593,Minimum Increments to Equalize Leaf Paths,Medium,https://leetcode.com/problems/minimum-increments-to-equalize-leaf-paths/,"Array, Dynamic Programming, Tree, Depth-First Search",40.68,False,Algorithms,117,8,,[]
3589,Count Prime-Gap Balanced Subarrays,Medium,https://leetcode.com/problems/count-prime-gap-balanced-subarrays/,"Array, Math, Queue, Sliding Window, Number Theory, Monotonic Queue",18.86,False,Algorithms,68,4,,[]
3571,Find the Shortest Superstring II,Easy,https://leetcode.com/problems/find-the-shortest-superstring-ii/,String,50.72,True,Algorithms,6,1,,"[{""title"": ""Find the Shortest Superstring"", ""titleSlug"": ""find-the-shortest-superstring"", ""difficulty"": ""Hard"", ""translatedTitle"": null}]"
3570,Find Books with No Available Copies,Easy,https://leetcode.com/problems/find-books-with-no-available-copies/,Database,54.28,False,Database,29,8,,[]
3590,Kth Smallest Path XOR Sum,Hard,https://leetcode.com/problems/kth-smallest-path-xor-sum/,"Array, Tree, Depth-First Search, Ordered Set",27.63,False,Algorithms,22,9,,[]
3587,Minimum Adjacent Swaps to Alternate Parity,Medium,https://leetcode.com/problems/minimum-adjacent-swaps-to-alternate-parity/,"Array, Greedy",41.68,False,Algorithms,76,14,,[]
3592,Inverse Coin Change,Medium,https://leetcode.com/problems/inverse-coin-change/,"Array, Dynamic Programming",49.5,False,Algorithms,130,13,,"[{""title"": ""Coin Change"", ""titleSlug"": ""coin-change"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Coin Change II"", ""titleSlug"": ""coin-change-ii"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
3597,Partition String ,Medium,https://leetcode.com/problems/partition-string/,"Hash Table, String, Trie, Simulation",57.28,False,Algorithms,57,3,,[]
